timestamp,open,high,low,close,volume,quote_volume,trades,date
1672531200000,1196.13,1196.7,1192.72,1194.09,5889.384,7036229.662778,15832,2023-01-01 00:00:00+00:00
1672534800000,1194.09,1196.37,1193.84,1196.02,3157.2079,3773474.994579,8245,2023-01-01 01:00:00+00:00
1672538400000,1196.01,1196.74,1194.11,1195.4,3752.0476,4484632.175954,8377,2023-01-01 02:00:00+00:00
1672542000000,1195.41,1195.41,1191.71,1194.04,7493.4207,8941606.828967,10244,2023-01-01 03:00:00+00:00
1672545600000,1194.05,1194.05,1190.57,1192.92,6409.2491,7641846.882229,10211,2023-01-01 04:00:00+00:00
1672549200000,1192.92,1194.67,1192.71,1194.54,2316.3448,2765081.23703,7332,2023-01-01 05:00:00+00:00
1672552800000,1194.55,1195.23,1193.81,1194.81,4102.0957,4899784.445077,12437,2023-01-01 06:00:00+00:00
1672556400000,1194.81,1195.75,1193.04,1195.06,5826.7698,6960068.323581,10202,2023-01-01 07:00:00+00:00
1672560000000,1195.07,1195.9,1194.17,1194.28,3124.6022,3734149.847429,7964,2023-01-01 08:00:00+00:00
1672563600000,1194.27,1196.55,1193.98,1196.48,2763.9478,3303313.973067,8452,2023-01-01 09:00:00+00:00
1672567200000,1196.47,1197.19,1195.59,1197.14,2006.5809,2400028.446332,7025,2023-01-01 10:00:00+00:00
1672570800000,1197.14,1197.41,1195.72,1196.34,2854.0542,3414885.466884,7821,2023-01-01 11:00:00+00:00
1672574400000,1196.35,1198.5,1195.83,1197.17,4418.7365,5289955.583378,9228,2023-01-01 12:00:00+00:00
1672578000000,1197.16,1197.29,1193.54,1195.26,4804.449,5742834.498842,10193,2023-01-01 13:00:00+00:00
1672581600000,1195.26,1195.86,1194.2,1194.5,3496.2584,4178623.539318,8320,2023-01-01 14:00:00+00:00
1672585200000,1194.5,1196.81,1194.34,1196.81,2771.4134,3312992.416681,7903,2023-01-01 15:00:00+00:00
1672588800000,1196.81,1198.35,1195.88,1197.34,8667.6825,10377660.301532,11497,2023-01-01 16:00:00+00:00
1672592400000,1197.35,1203.5,1197.34,1200.68,10429.0438,12522356.335459,13059,2023-01-01 17:00:00+00:00
1672596000000,1200.67,1202.91,1200.67,1200.92,5269.1583,6331625.061731,9936,2023-01-01 18:00:00+00:00
1672599600000,1200.93,1204.51,1200.92,1201.78,6650.6305,7999635.11174,11595,2023-01-01 19:00:00+00:00
1672603200000,1201.77,1204.67,1201.39,1201.4,4423.7644,5320571.123451,9276,2023-01-01 20:00:00+00:00
1672606800000,1201.4,1203.08,1200.65,1202.85,3422.5871,4113623.565895,8856,2023-01-01 21:00:00+00:00
1672610400000,1202.85,1203.08,1200.45,1201.03,3264.0509,3924030.66585,8106,2023-01-01 22:00:00+00:00
1672614000000,1201.04,1202.49,1199.36,1200.34,10448.589,12545986.167924,11040,2023-01-01 23:00:00+00:00
1672617600000,1200.33,1201.04,1197.5,1198.16,6261.1079,7507532.816424,11561,2023-01-02 00:00:00+00:00
1672621200000,1198.16,1198.31,1193.0,1195.16,13822.8726,16525026.990649,15510,2023-01-02 01:00:00+00:00
1672624800000,1195.15,1197.24,1194.46,1196.79,3160.0153,3779406.950809,8228,2023-01-02 02:00:00+00:00
1672628400000,1196.79,1203.53,1196.56,1201.94,8910.252,10690986.971482,12033,2023-01-02 03:00:00+00:00
1672632000000,1201.94,1202.95,1199.87,1201.85,6437.8861,7731939.015661,11121,2023-01-02 04:00:00+00:00
1672635600000,1201.85,1202.99,1200.15,1202.35,4675.795,5618912.096306,9880,2023-01-02 05:00:00+00:00
1672639200000,1202.36,1204.19,1200.55,1201.58,5203.7224,6256143.761593,10193,2023-01-02 06:00:00+00:00
1672642800000,1201.58,1220.0,1201.39,1213.09,49691.1187,60263985.398012,41385,2023-01-02 07:00:00+00:00
1672646400000,1213.08,1217.27,1212.74,1215.94,11518.089,13994580.785692,19315,2023-01-02 08:00:00+00:00
1672650000000,1215.93,1219.32,1215.74,1217.18,13720.0055,16706460.883697,15732,2023-01-02 09:00:00+00:00
1672653600000,1217.18,1224.29,1216.61,1217.75,33278.1366,40593646.561157,24191,2023-01-02 10:00:00+00:00
1672657200000,1217.74,1217.88,1214.29,1217.35,7768.1952,9447739.707832,12617,2023-01-02 11:00:00+00:00
1672660800000,1217.35,1218.67,1216.61,1216.62,5725.8258,6971787.305567,11613,2023-01-02 12:00:00+00:00
1672664400000,1216.62,1217.01,1214.04,1214.95,6919.2938,8410152.758808,11662,2023-01-02 13:00:00+00:00
1672668000000,1214.95,1218.39,1214.92,1216.78,9916.8659,12063732.515522,14018,2023-01-02 14:00:00+00:00
1672671600000,1216.77,1220.98,1215.45,1219.0,14366.9228,17507888.798071,15843,2023-01-02 15:00:00+00:00
1672675200000,1219.0,1220.29,1216.26,1216.51,7288.0316,8879943.36149,10860,2023-01-02 16:00:00+00:00
1672678800000,1216.52,1217.37,1215.74,1217.08,5356.3496,6516647.535069,9365,2023-01-02 17:00:00+00:00
1672682400000,1217.09,1219.35,1216.66,1218.03,3683.9939,4487261.57587,8297,2023-01-02 18:00:00+00:00
1672686000000,1218.04,1219.3,1217.38,1218.87,2832.7757,3451173.923561,7815,2023-01-02 19:00:00+00:00
1672689600000,1218.88,1218.88,1216.61,1218.4,3148.2116,3834308.075295,8261,2023-01-02 20:00:00+00:00
1672693200000,1218.39,1223.85,1218.09,1219.79,6210.7274,7578705.183233,9867,2023-01-02 21:00:00+00:00
1672696800000,1219.79,1220.31,1211.22,1215.11,12767.6245,15530501.006713,17138,2023-01-02 22:00:00+00:00
1672700400000,1215.1,1217.11,1212.82,1214.0,10130.3211,12308973.548966,13495,2023-01-02 23:00:00+00:00
1672704000000,1213.99,1216.81,1213.0,1215.55,5917.0908,7190137.865479,10854,2023-01-03 00:00:00+00:00
1672707600000,1215.55,1215.79,1211.5,1214.14,7526.1063,9131870.051533,11352,2023-01-03 01:00:00+00:00
1672711200000,1214.13,1215.22,1212.97,1214.22,4795.288,5823504.36546,9242,2023-01-03 02:00:00+00:00
1672714800000,1214.21,1216.21,1212.93,1215.59,6510.5641,7908307.687214,10433,2023-01-03 03:00:00+00:00
1672718400000,1215.58,1215.79,1213.41,1213.54,4289.5462,5210125.687664,8580,2023-01-03 04:00:00+00:00
1672722000000,1213.55,1217.86,1213.43,1217.86,5559.7739,6761394.787374,9798,2023-01-03 05:00:00+00:00
1672725600000,1217.85,1219.89,1216.46,1216.8,7585.1804,9239063.684116,11499,2023-01-03 06:00:00+00:00
1672729200000,1216.8,1217.17,1215.29,1216.61,4094.1791,4980098.215276,9124,2023-01-03 07:00:00+00:00
1672732800000,1216.61,1217.08,1213.99,1215.63,7372.5874,8959479.38177,12574,2023-01-03 08:00:00+00:00
1672736400000,1215.64,1218.57,1215.63,1217.48,8999.9249,10950543.322867,12540,2023-01-03 09:00:00+00:00
